incident_id,fault_type,root_service,confirmed,method
LIVE-cd1f76ee,DB_TIMEOUT,settlement,true,witness+funnel-stall
LIVE-158ce68e,KAFKA_CONSUMER_LAG,routing-execution,true,witness+funnel-stall
LIVE-c714ec37,NETWORK_LATENCY,validation-enrichment,true,witness+funnel-stall
LIVE-75f80ed7,CPU_SATURATION,aml-compliance,true,witness+funnel-stall
LIVE-fb98b217,IDEMPOTENCY_COLLISION_STORM,gateway,false,contaminated-methodology+no-ES-evidence-found
LIVE-374da004,IDEMPOTENCY_COLLISION_STORM,gateway,false,clean-blind-no-evidence-found
LIVE-549afd1b,AML_HOLD,aml-compliance,true,direct-self-reported-log
LIVE-d29470d5,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,true,witness+funnel-stall
LIVE-92d99e70,AML_SERVICE_DEGRADATION_RETRY_CASCADE,aml-compliance,true,witness+funnel-stall
LIVE-0fbc4973,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,true,witness+funnel-stall-no-confound-this-run
LIVE-8ed9457d,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,true,witness+funnel-stall
LIVE-e5f57fc7,DB_TIMEOUT,settlement,true,witness+funnel-stall
LIVE-fc3f6e2a,KAFKA_CONSUMER_LAG,routing-execution,true,witness+funnel-stall
LIVE-50580610,NETWORK_LATENCY,validation-enrichment,true,witness+funnel-stall
LIVE-084a3a65,CPU_SATURATION,aml-compliance,true,witness+funnel-stall
LIVE-fd202168,IDEMPOTENCY_COLLISION_STORM,gateway,false,third-confirmation-ES+rawlog+kafka-all-empty
LIVE-4e899937,AML_HOLD,aml-compliance,true,direct-self-reported-log
LIVE-c9126bf2,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,true,witness+funnel-stall-no-confound-this-run
LIVE-86e563f1,AML_SERVICE_DEGRADATION_RETRY_CASCADE,aml-compliance,true,witness+funnel-stall-no-confound-this-run
LIVE-9608ddd3,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,true,witness+funnel-stall-no-confound-this-run
LIVE-6e7fe0ef,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,true,witness+funnel-stall
LIVE-f8458870,DB_TIMEOUT,settlement,true,witness+funnel-stall
LIVE-98435f36,KAFKA_CONSUMER_LAG,routing-execution,true,witness+funnel-stall
LIVE-2e6706a0,NETWORK_LATENCY,validation-enrichment,true,witness+funnel-stall
LIVE-4d00a0c8,CPU_SATURATION,aml-compliance,true,witness+funnel-stall
LIVE-2a87e1a2,IDEMPOTENCY_COLLISION_STORM,gateway,false,fourth-confirmation-evidence-free
LIVE-2b3c53da,AML_HOLD,aml-compliance,true,direct-self-reported-log
LIVE-0c057497,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,true,witness+funnel-stall-no-confound-this-run
LIVE-a41428fd,AML_SERVICE_DEGRADATION_RETRY_CASCADE,aml-compliance,true,witness+funnel-stall-no-confound-this-run
LIVE-d45c0b73,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,true,witness+funnel-stall-no-confound-this-run
LIVE-724753fd,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,true,witness+funnel-stall-no-confound-this-run
LIVE-a1018952,DB_TIMEOUT,settlement,true,witness+funnel-stall
LIVE-1dd87cec,KAFKA_CONSUMER_LAG,routing-execution,true,witness+funnel-stall
LIVE-b39b1e5f,NETWORK_LATENCY,validation-enrichment,true,witness+funnel-stall
LIVE-8b01e57d,CPU_SATURATION,aml-compliance,true,witness+funnel-stall
LIVE-b12684e5,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,true,witness+funnel-stall-no-confound-this-run
LIVE-7e974bac,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,true,witness+funnel-stall-no-confound-this-run
LIVE-3cf078b4,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,true,witness+real-decoy-present-still-resolvable
LIVE-fc3e530b,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,true,witness+4x-decoy-still-resolvable-via-health-check-signal
LIVE-32fb18f2,AML_SERVICE_DEGRADATION_RETRY_CASCADE,aml-compliance,true,witness+funnel-stall
LIVE-0d5964c1,REDIS_OUTAGE,redis,false,no-evidence-found-at-20s-duration-system-resilient
LIVE-56d4a244,REDIS_OUTAGE,redis,false,no-evidence-replicated-at-60s-duration-real-resilience-finding
LIVE-c15c694b,MONGODB_OUTAGE,mongodb,true,witness-two-services-same-connection-failure-signature
LIVE-0c342599,CASSANDRA_OUTAGE,cassandra,true,witness-single-service-direct-port-9042-evidence
LIVE-5bb250bb,MONGODB_OUTAGE,mongodb,true,witness-two-services-same-signature-replicated
LIVE-125bb06d,AML_HOLD,aml-compliance,true,direct-self-reported-log-recovered-after-fixing-300-event-cap-bug
LIVE-0e259052,CASSANDRA_OUTAGE,cassandra,true,witness-single-service-replicated
LIVE-06e81ed2,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,true,witness+funnel-stall
LIVE-166ba8bb,REDIS_OUTAGE,redis,false,no-evidence-third-consecutive-replication
LIVE-8adba291,MONGODB_OUTAGE,mongodb,true,witness-two-services-third-replication
