incident_id,fault_type,true_root,method,pred_rank1,full_ranking,hit,seconds,error,timestamp
LIVE-0029cef4,DB_TIMEOUT,settlement,loudest_metric_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T18:53:16.434295+00:00
LIVE-0029cef4,DB_TIMEOUT,settlement,mcp_llm_rca_baseline,validation-enrichment,validation-enrichment;aml-compliance;gateway;routing-execution;settlement,0,16.6,,2026-09-01T18:53:33.072850+00:00
LIVE-0029cef4,DB_TIMEOUT,settlement,mcp_slm_rca_baseline,aml-compliance,aml-compliance;validation-enrichment;routing-execution;settlement;gateway,0,93.6,,2026-09-01T18:55:06.659402+00:00
LIVE-010f5584,AML_HOLD,aml-compliance,loudest_metric_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T18:55:56.509591+00:00
LIVE-010f5584,AML_HOLD,aml-compliance,mcp_llm_rca_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,61.0,,2026-09-01T18:56:57.464922+00:00
LIVE-010f5584,AML_HOLD,aml-compliance,mcp_slm_rca_baseline,validation-enrichment,validation-enrichment;aml-compliance;gateway;routing-execution;settlement,0,81.6,,2026-09-01T18:58:19.110318+00:00
LIVE-02346c6a,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,loudest_metric_baseline,routing-execution,routing-execution;settlement;validation-enrichment;aml-compliance;gateway,0,0.0,,2026-09-01T18:58:19.201862+00:00
LIVE-02346c6a,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,mcp_llm_rca_baseline,settlement,settlement;aml-compliance;routing-execution;gateway;validation-enrichment,1,27.2,,2026-09-01T18:58:46.436141+00:00
LIVE-02346c6a,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,mcp_slm_rca_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,85.3,,2026-09-01T19:00:11.688877+00:00
LIVE-02b2695f,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,loudest_metric_baseline,gateway,gateway;routing-execution;settlement;validation-enrichment;aml-compliance,0,0.1,,2026-09-01T19:00:11.860206+00:00
LIVE-02b2695f,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,mcp_llm_rca_baseline,validation-enrichment,validation-enrichment;aml-compliance;gateway;routing-execution;settlement,1,34.0,,2026-09-01T19:00:45.841043+00:00
LIVE-02b2695f,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,mcp_slm_rca_baseline,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,1,99.7,,2026-09-01T19:02:25.560652+00:00
LIVE-049c8d86,DB_TIMEOUT,settlement,loudest_metric_baseline,settlement,settlement;routing-execution;validation-enrichment;aml-compliance;gateway,1,0.1,,2026-09-01T19:02:25.707452+00:00
LIVE-049c8d86,DB_TIMEOUT,settlement,mcp_llm_rca_baseline,settlement,settlement;aml-compliance;routing-execution;validation-enrichment;gateway,1,48.0,,2026-09-01T19:03:13.675098+00:00
LIVE-049c8d86,DB_TIMEOUT,settlement,mcp_slm_rca_baseline,aml-compliance,aml-compliance;routing-execution;validation-enrichment;gateway;settlement,0,96.3,,2026-09-01T19:04:50.003223+00:00
LIVE-04c75e5e,AML_HOLD,aml-compliance,loudest_metric_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T19:04:59.494888+00:00
LIVE-04c75e5e,AML_HOLD,aml-compliance,mcp_llm_rca_baseline,gateway,gateway;aml-compliance;routing-execution;settlement;validation-enrichment,0,20.6,,2026-09-01T19:05:20.056640+00:00
LIVE-04c75e5e,AML_HOLD,aml-compliance,mcp_slm_rca_baseline,validation-enrichment,validation-enrichment;routing-execution;settlement;gateway;aml-compliance,0,77.6,,2026-09-01T19:06:37.649169+00:00
LIVE-0679abe9,KAFKA_CONSUMER_LAG,routing-execution,loudest_metric_baseline,routing-execution,routing-execution;settlement;validation-enrichment;aml-compliance;gateway,1,0.0,,2026-09-01T19:14:52.123792+00:00
LIVE-0679abe9,KAFKA_CONSUMER_LAG,routing-execution,mcp_llm_rca_baseline,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,102.3,,2026-09-01T19:16:34.387276+00:00
LIVE-0679abe9,KAFKA_CONSUMER_LAG,routing-execution,mcp_slm_rca_baseline,aml-compliance,aml-compliance;routing-execution;validation-enrichment;gateway;settlement,0,96.5,,2026-09-01T19:19:00.457594+00:00
LIVE-08da5024,AML_HOLD,aml-compliance,loudest_metric_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T19:19:00.545826+00:00
LIVE-08da5024,AML_HOLD,aml-compliance,mcp_llm_rca_baseline,validation-enrichment,validation-enrichment;aml-compliance;gateway;routing-execution;settlement,0,20.7,,2026-09-01T19:25:16.233270+00:00
LIVE-08da5024,AML_HOLD,aml-compliance,mcp_slm_rca_baseline,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;gateway;settlement,0,83.2,,2026-09-01T19:26:39.441327+00:00
LIVE-0db6ac08,CPU_SATURATION,aml-compliance,loudest_metric_baseline,aml-compliance,aml-compliance;validation-enrichment;settlement;routing-execution;gateway,1,0.0,,2026-09-01T19:44:49.337294+00:00
LIVE-0db6ac08,CPU_SATURATION,aml-compliance,mcp_llm_rca_baseline,,,0,150.2,,2026-09-01T19:47:19.491160+00:00
LIVE-0db6ac08,CPU_SATURATION,aml-compliance,mcp_slm_rca_baseline,routing-execution,routing-execution;aml-compliance;settlement;gateway;validation-enrichment,0,72.6,,2026-09-01T19:48:32.136955+00:00
LIVE-0f30ca31,IDEMPOTENCY_COLLISION_STORM,gateway,loudest_metric_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,1,0.0,,2026-09-01T19:54:54.628018+00:00
LIVE-0f30ca31,IDEMPOTENCY_COLLISION_STORM,gateway,mcp_llm_rca_baseline,aml-compliance,aml-compliance;gateway;validation-enrichment;routing-execution;settlement,0,41.7,,2026-09-01T19:55:36.327167+00:00
LIVE-0f30ca31,IDEMPOTENCY_COLLISION_STORM,gateway,mcp_slm_rca_baseline,validation-enrichment,validation-enrichment;gateway;aml-compliance;routing-execution;settlement,0,86.2,,2026-09-01T19:57:02.553345+00:00
LIVE-11a8bf36,KAFKA_CONSUMER_LAG,routing-execution,loudest_metric_baseline,gateway,gateway;validation-enrichment;aml-compliance;settlement;routing-execution,0,0.0,,2026-09-01T20:08:23.803406+00:00
LIVE-11a8bf36,KAFKA_CONSUMER_LAG,routing-execution,mcp_llm_rca_baseline,aml-compliance,aml-compliance;settlement;gateway;validation-enrichment;routing-execution,0,31.6,,2026-09-01T20:08:55.360463+00:00
LIVE-11a8bf36,KAFKA_CONSUMER_LAG,routing-execution,mcp_slm_rca_baseline,aml-compliance,aml-compliance;gateway;validation-enrichment;routing-execution;settlement,0,100.7,,2026-09-01T20:11:13.336506+00:00
LIVE-13aabdf1,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,loudest_metric_baseline,settlement,settlement;routing-execution;validation-enrichment;aml-compliance;gateway,1,0.0,,2026-09-01T20:11:13.435263+00:00
LIVE-0029cef4,DB_TIMEOUT,settlement,payment_aware_rca,validation-enrichment,validation-enrichment;gateway;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.628947+00:00
LIVE-0029cef4,DB_TIMEOUT,settlement,graph_topology_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.646552+00:00
LIVE-010f5584,AML_HOLD,aml-compliance,payment_aware_rca,validation-enrichment,validation-enrichment;gateway;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.667324+00:00
LIVE-010f5584,AML_HOLD,aml-compliance,graph_topology_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.685030+00:00
LIVE-02346c6a,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,payment_aware_rca,validation-enrichment,validation-enrichment;gateway;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.707713+00:00
LIVE-02346c6a,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,graph_topology_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.726423+00:00
LIVE-02b2695f,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,payment_aware_rca,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.748553+00:00
LIVE-02b2695f,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,graph_topology_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.767852+00:00
LIVE-049c8d86,DB_TIMEOUT,settlement,payment_aware_rca,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,0.0,,2026-09-01T20:16:46.790245+00:00
LIVE-049c8d86,DB_TIMEOUT,settlement,graph_topology_baseline,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,0.0,,2026-09-01T20:16:46.809658+00:00
LIVE-04c75e5e,AML_HOLD,aml-compliance,payment_aware_rca,validation-enrichment,validation-enrichment;gateway;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.830934+00:00
LIVE-04c75e5e,AML_HOLD,aml-compliance,graph_topology_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.848765+00:00
LIVE-0679abe9,KAFKA_CONSUMER_LAG,routing-execution,payment_aware_rca,validation-enrichment,validation-enrichment;routing-execution;aml-compliance;settlement;gateway,0,0.0,,2026-09-01T20:16:46.870972+00:00
LIVE-0679abe9,KAFKA_CONSUMER_LAG,routing-execution,graph_topology_baseline,routing-execution,routing-execution;validation-enrichment;aml-compliance;settlement;gateway,1,0.0,,2026-09-01T20:16:46.891011+00:00
LIVE-08da5024,AML_HOLD,aml-compliance,payment_aware_rca,aml-compliance,aml-compliance;validation-enrichment;gateway;routing-execution;settlement,1,0.0,,2026-09-01T20:16:46.912043+00:00
LIVE-08da5024,AML_HOLD,aml-compliance,graph_topology_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:46.929795+00:00
LIVE-0db6ac08,CPU_SATURATION,aml-compliance,payment_aware_rca,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,0.0,,2026-09-01T20:16:46.952061+00:00
LIVE-0db6ac08,CPU_SATURATION,aml-compliance,graph_topology_baseline,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,0.0,,2026-09-01T20:16:46.970956+00:00
LIVE-0f30ca31,IDEMPOTENCY_COLLISION_STORM,gateway,payment_aware_rca,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,1,0.0,,2026-09-01T20:16:46.992088+00:00
LIVE-0f30ca31,IDEMPOTENCY_COLLISION_STORM,gateway,graph_topology_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,1,0.0,,2026-09-01T20:16:47.010249+00:00
LIVE-11a8bf36,KAFKA_CONSUMER_LAG,routing-execution,payment_aware_rca,validation-enrichment,validation-enrichment;gateway;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:47.033652+00:00
LIVE-11a8bf36,KAFKA_CONSUMER_LAG,routing-execution,graph_topology_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,0.0,,2026-09-01T20:16:47.053240+00:00
LIVE-13aabdf1,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,payment_aware_rca,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,0.0,,2026-09-01T20:16:47.075580+00:00
LIVE-13aabdf1,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,graph_topology_baseline,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,0.0,,2026-09-01T20:16:47.095714+00:00
LIVE-13aabdf1,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,mcp_llm_rca_baseline,settlement,settlement;routing-execution;aml-compliance;validation-enrichment;gateway,1,25.6,,2026-09-01T20:17:12.706782+00:00
LIVE-13aabdf1,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,mcp_slm_rca_baseline,gateway,gateway;validation-enrichment;aml-compliance;routing-execution;settlement,0,86.4,,2026-09-01T20:18:39.060189+00:00
LIVE-16440e52,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,payment_aware_rca,validation-enrichment,validation-enrichment;settlement;gateway;aml-compliance;routing-execution,1,0.0,,2026-09-01T20:18:39.090207+00:00
LIVE-16440e52,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,graph_topology_baseline,validation-enrichment,validation-enrichment;settlement;gateway;aml-compliance;routing-execution,1,0.0,,2026-09-01T20:18:39.122577+00:00
LIVE-16440e52,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,loudest_metric_baseline,validation-enrichment,validation-enrichment;settlement;routing-execution;gateway;aml-compliance,1,0.0,,2026-09-01T20:18:39.144553+00:00
LIVE-16440e52,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,mcp_llm_rca_baseline,settlement,settlement;aml-compliance;validation-enrichment;routing-execution;gateway,0,39.8,,2026-09-01T20:19:18.898483+00:00
LIVE-16440e52,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,mcp_slm_rca_baseline,aml-compliance,aml-compliance;validation-enrichment;settlement;routing-execution;gateway,0,76.3,,2026-09-01T20:33:14.771500+00:00
LIVE-16eb5fd5,AML_HOLD,aml-compliance,payment_aware_rca,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,0.0,,2026-09-01T20:33:14.797866+00:00
LIVE-16eb5fd5,AML_HOLD,aml-compliance,graph_topology_baseline,validation-enrichment,validation-enrichment;aml-compliance;routing-execution;settlement;gateway,0,0.0,,2026-09-01T20:33:14.821624+00:00
LIVE-16eb5fd5,AML_HOLD,aml-compliance,loudest_metric_baseline,settlement,settlement;validation-enrichment;aml-compliance;routing-execution;gateway,0,0.0,,2026-09-01T20:33:14.847390+00:00
