case,root_cause_service,fault
re1ob_adservice_cpu_1,adservice,cpu
re1ob_adservice_cpu_2,adservice,cpu
re1ob_adservice_cpu_3,adservice,cpu
re1ob_adservice_cpu_4,adservice,cpu
re1ob_adservice_cpu_5,adservice,cpu
re1ob_adservice_delay_1,adservice,delay
re1ob_adservice_delay_2,adservice,delay
re1ob_adservice_delay_3,adservice,delay
re1ob_adservice_delay_4,adservice,delay
re1ob_adservice_delay_5,adservice,delay
re1ob_cartservice_cpu_1,cartservice,cpu
re1ob_cartservice_cpu_2,cartservice,cpu
re1ob_cartservice_cpu_3,cartservice,cpu
re1ob_cartservice_cpu_4,cartservice,cpu
re1ob_cartservice_cpu_5,cartservice,cpu
re1ob_cartservice_delay_1,cartservice,delay
re1ob_cartservice_delay_2,cartservice,delay
re1ob_cartservice_delay_3,cartservice,delay
re1ob_cartservice_delay_4,cartservice,delay
re1ob_cartservice_delay_5,cartservice,delay
re1ob_checkoutservice_cpu_1,checkoutservice,cpu
re1ob_checkoutservice_cpu_2,checkoutservice,cpu
re1ob_checkoutservice_cpu_3,checkoutservice,cpu
re1ob_checkoutservice_cpu_4,checkoutservice,cpu
re1ob_checkoutservice_cpu_5,checkoutservice,cpu
re1ob_checkoutservice_delay_1,checkoutservice,delay
re1ob_checkoutservice_delay_2,checkoutservice,delay
re1ob_checkoutservice_delay_3,checkoutservice,delay
re1ob_checkoutservice_delay_4,checkoutservice,delay
re1ob_checkoutservice_delay_5,checkoutservice,delay
re1ob_currencyservice_cpu_1,currencyservice,cpu
re1ob_currencyservice_cpu_2,currencyservice,cpu
re1ob_currencyservice_cpu_3,currencyservice,cpu
re1ob_currencyservice_cpu_4,currencyservice,cpu
re1ob_currencyservice_cpu_5,currencyservice,cpu
re1ob_currencyservice_delay_1,currencyservice,delay
re1ob_currencyservice_delay_2,currencyservice,delay
re1ob_currencyservice_delay_3,currencyservice,delay
re1ob_currencyservice_delay_4,currencyservice,delay
re1ob_currencyservice_delay_5,currencyservice,delay
re1ob_productcatalogservice_cpu_1,productcatalogservice,cpu
re1ob_productcatalogservice_cpu_2,productcatalogservice,cpu
re1ob_productcatalogservice_cpu_3,productcatalogservice,cpu
re1ob_productcatalogservice_cpu_4,productcatalogservice,cpu
re1ob_productcatalogservice_cpu_5,productcatalogservice,cpu
re1ob_productcatalogservice_delay_1,productcatalogservice,delay
re1ob_productcatalogservice_delay_2,productcatalogservice,delay
re1ob_productcatalogservice_delay_3,productcatalogservice,delay
re1ob_productcatalogservice_delay_4,productcatalogservice,delay
re1ob_productcatalogservice_delay_5,productcatalogservice,delay
